GLOSS_ID,VALIDATED_ROOT,AIRCRAFT_NAME,WEBSITE_LINK,AIRCRAFT_TYPE,AIRCRAFT_SHORTNAME,AIRCRAFT_APPLICATION,AC_MISSION_COUNT
42,EC-121,Lockheed EC-121 Warning Star,https://en.wikipedia.org/wiki/Lockheed_EC-121_Warning_Star,Airborne early warning and control,Warning Star,EARLY_WARNING,17621
43,EC-47,Douglas C-47 Skytrain,https://en.wikipedia.org/wiki/Douglas_C-47_Skytrain,Military Transport aircraft,Skytrain,TRANSPORT,59034
44,EF-10,Douglas F3D Skyknight,https://en.wikipedia.org/wiki/Douglas_F3D_Skyknight,Fighter Jet,Skyknight,FIGHTER,7066
45,EKA-3,Douglas A-3 Skywarrior,https://en.wikipedia.org/wiki/Douglas_A-3_Skywarrior,Strategic Bomber,Skywarrior,"STRATEGIC, BOMBER",10004
46,EP-3,Lockheed EP-3 ,https://en.wikipedia.org/wiki/Lockheed_EP-3,Signals Intelligence,,INTEL,690
47,F-8,Vought F-8 Crusader,https://en.wikipedia.org/wiki/Vought_F-8_Crusader,Carrier-based Fighter Jet,Crusader,"CARRIER, FIGHTER",149954
48,F-100,North American F-100 Super Sabre,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=114,Jet Fighter Bomber,Super Sabre,"FIGHTER, BOMBER",492872
50,F-104,Lockheed F-104 Starfighter,https://en.wikipedia.org/wiki/Lockheed_F-104_Starfighter,Fighter Jet Bomber,Starfighter,"FIGHTER, BOMBER",2961
51,F-105,Republic F-105 Thunderchief ,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=160,Fighter Jet Bomber,Thunderchief,"FIGHTER, BOMBER",143140
52,F-111,General Dynamics F-111 Aardvark,https://en.wikipedia.org/wiki/General_Dynamics_F-111_Aardvark,Fighter Jet Bomber,Aardvark,"FIGHTER, BOMBER",20485
53,F-14,Grumman F-14 Tomcat,https://en.wikipedia.org/wiki/Grumman_F-14_Tomcat,Fighter Jet,Tomcat,FIGHTER,15
54,F-4,McDonnell Douglas F-4 Phantom II,https://en.wikipedia.org/wiki/McDonnell_Douglas_F-4_Phantom_II,Fighter Jet Bomber,Phantom II,"FIGHTER, BOMBER",957427
55,F-5,Northrop F-5 ,https://en.wikipedia.org/wiki/Northrop_F-5,Light fighter,,FIGHTER,41603
57,F-10,Douglas F3D/F-10 Skynight ,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=495,Carrier-base all-weather night Fighter Jet,Skynight,FIGHTER,2
58,F-9,Grumman F-9 Cougar,https://en.wikipedia.org/wiki/Grumman_F-9_Cougar,Fighter Jet,Cougar,FIGHTER,186
59,FC-47,Douglas AC-47 Spooky,https://en.wikipedia.org/wiki/Douglas_AC-47_Spooky,Close air support prop gunship,Spooky,"CLOSE_SUPPORT, PROP",923
60,H-34,Sikorsky H-34 Choctaw,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=327,Close -Support Helicopter,Choctaw,"CLOSE_SUPPORT, HELICOPTER",2213
